title,object_name,url,video_id,category,is_moving,ra,dec,ra_decimal,dec_decimal,simbad_name,has_transcript,notes
"Once Around Barnards Loop","Barnards Loop",https://www.youtube.com/watch?v=qzFKgsPpI3A,qzFKgsPpI3A,fixed,false,"05 27 30.0","-03 58 00",81.875000,-3.966667,"Barnard's Loop",true,
"Once Around Janus and Epimetheus","Janus and Epimetheus",https://www.youtube.com/watch?v=TrEDNXYnygY,TrEDNXYnygY,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Schwassmann-Wachmann-1","Schwassmann-Wachmann-1",https://www.youtube.com/watch?v=sI_ZR2t1Xog,sI_ZR2t1Xog,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Iota Horologii","Iota Horologii",https://www.youtube.com/watch?v=ZnKXuy3THcU,ZnKXuy3THcU,fixed,false,"02 42 33.4666679022","-50 48 01.055138166",40.639444,-50.800293,"iota Hor",true,
"Once Around Magnetars","Magnetars",https://www.youtube.com/watch?v=FQStyUQDBek,FQStyUQDBek,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around JuMBOs","JuMBOs",https://www.youtube.com/watch?v=xefdFcTAbBk,xefdFcTAbBk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Antistars","Antistars",https://www.youtube.com/watch?v=NiFMhqDOTCs,NiFMhqDOTCs,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Tychos Supernova","Tychos Supernova",https://www.youtube.com/watch?v=1h6y6L_uIWE,1h6y6L_uIWE,fixed,false,"00 25 21.5","+64 08 27",6.339583,64.140833,"SN 1572",true,
"Once Around the Moons of Neptune","the Moons of Neptune",https://www.youtube.com/watch?v=h7AbMQFwojM,h7AbMQFwojM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around the Moons of Mars","the Moons of Mars",https://www.youtube.com/watch?v=3eoqEq-5x-c,3eoqEq-5x-c,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around the Horsehead Nebula","the Horsehead Nebula",https://www.youtube.com/watch?v=ba9Z3JG12Ps,ba9Z3JG12Ps,fixed,false,"05 40 59.0","-02 27 30",85.245833,-2.458333,"Horsehead Nebula",true,
"Once Around The Centre of The Universe","The Centre of The Universe",https://www.youtube.com/watch?v=3fsnoxzbc8s,3fsnoxzbc8s,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around The Orion Nebula","The Orion Nebula",https://www.youtube.com/watch?v=ko9q8SgsZh4,ko9q8SgsZh4,fixed,false,"05 35 16.8","-05 23 15",83.820000,-5.387500,"M42",true,
"Once Around The Helix Nebula","The Helix Nebula",https://www.youtube.com/watch?v=X-vey2P7xUc,X-vey2P7xUc,fixed,false,"22 29 38.5454047152","-20 50 13.747242408",337.410606,-20.837152,"NGC 7293",true,
"Once Around Nova 1934 DQ Herculis","Nova 1934 DQ Herculis",https://www.youtube.com/watch?v=kvPhQdQW6m8,kvPhQdQW6m8,fixed,false,"18 07 30.2510391864","+45 51 32.564791872",271.876046,45.859046,"DQ Her",true,
"Once Around GK Persei","GK Persei",https://www.youtube.com/watch?v=G7sCv6biYnE,G7sCv6biYnE,fixed,false,"03 31 12.0098863320","+43 54 15.469951212",52.800041,43.904297,"GK Per",true,
"Once Around Westerlund 1","Westerlund 1",https://www.youtube.com/watch?v=HsVv8vWgDBI,HsVv8vWgDBI,fixed,false,"16 47 02.4","-45 51 07",251.760000,-45.851944,"Westerlund 1",true,
"Once Around Varuna","Varuna",https://www.youtube.com/watch?v=G3Thlzt2gMc,G3Thlzt2gMc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Stephenson 2-18","Stephenson 2-18",https://www.youtube.com/watch?v=25_KHaw0ouY,25_KHaw0ouY,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around the IceCube Observatory","the IceCube Observatory",https://www.youtube.com/watch?v=a1BgWLQsaik,a1BgWLQsaik,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around Ixion","Ixion",https://www.youtube.com/watch?v=8t00exL7LLM,8t00exL7LLM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gonggong","Gonggong",https://www.youtube.com/watch?v=8PQv-mVU_48,8PQv-mVU_48,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Achlys","Achlys",https://www.youtube.com/watch?v=tWzYNMLFZo4,tWzYNMLFZo4,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Orcus","Orcus",https://www.youtube.com/watch?v=i3_7D_6btRc,i3_7D_6btRc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gliese 876","Gliese 876",https://www.youtube.com/watch?v=CyuezQh0gcQ,CyuezQh0gcQ,fixed,false,"22 53 16.7325836486","-14 15 49.304052185",343.319719,-14.263696,"GJ 876",true,
"Once Around Makemake","Makemake",https://www.youtube.com/watch?v=uULlBgqG6aA,uULlBgqG6aA,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gliese 229","Gliese 229",https://www.youtube.com/watch?v=vA4q0zDhyoM,vA4q0zDhyoM,fixed,false,"06 10 34.6149358167","-21 51 52.656352926",92.644229,-21.864627,"GJ 229",true,
"Once Around Quaoar","Quaoar",https://www.youtube.com/watch?v=urGaNgShdBQ,urGaNgShdBQ,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gliese 581","Gliese 581",https://www.youtube.com/watch?v=rTf1fyTKZIY,rTf1fyTKZIY,fixed,false,"15 19 26.8269387505","-07 43 20.189497466",229.861779,-7.722275,"GJ 581",true,
"Once Around Huamea","Huamea",https://www.youtube.com/watch?v=BgfADu5ouhc,BgfADu5ouhc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Eris","Eris",https://www.youtube.com/watch?v=ZcyUeQ3JWBg,ZcyUeQ3JWBg,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around a Trio of Glieses","a Trio of Glieses",https://www.youtube.com/watch?v=DrNs0e3bnlk,DrNs0e3bnlk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Triton","Triton",https://www.youtube.com/watch?v=DLQAcuukgVQ,DLQAcuukgVQ,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around SIMP 0136","SIMP 0136",https://www.youtube.com/watch?v=B6CLI63DTgQ,B6CLI63DTgQ,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around Antares","Antares",https://www.youtube.com/watch?v=cHQv8tCPi6Q,cHQv8tCPi6Q,fixed,false,"16 29 24.45970","-26 25 55.2094",247.351915,-26.432003,"Antares",true,
"Once Around the Moons of Pluto","the Moons of Pluto",https://www.youtube.com/watch?v=j73r0seUqZM,j73r0seUqZM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Rigel","Rigel",https://www.youtube.com/watch?v=gOrYdNpHWWk,gOrYdNpHWWk,fixed,false,"05 14 32.27210","-08 12 05.8981",78.634467,-8.201638,"Rigel",true,
"Once Around Wolf Rayet Stars","Wolf Rayet Stars",https://www.youtube.com/watch?v=_f2o3QfK92Y,_f2o3QfK92Y,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Canopus","Canopus",https://www.youtube.com/watch?v=Tpa8iHwbuSM,Tpa8iHwbuSM,fixed,false,"06 23 57.10988","-52 41 44.3810",95.987958,-52.695661,"Canopus",true,
"Once Around the North America Nebula","the North America Nebula",https://www.youtube.com/watch?v=m2791HFOx-c,m2791HFOx-c,fixed,false,"20 58 47.0","+44 19 48",314.695833,44.330000,"NGC 7000",true,
"Once Around Trappist 1","Trappist 1",https://www.youtube.com/watch?v=tJKpcibbMX8,tJKpcibbMX8,fixed,false,"23 06 29.3684948589","-05 02 29.037301866",346.622369,-5.041399,"TRAPPIST-1",true,
"Once Around Pismis 24 1","Pismis 24 1",https://www.youtube.com/watch?v=or4MCjF4r9A,or4MCjF4r9A,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around Triangulum","Triangulum",https://www.youtube.com/watch?v=-22EhpUdGU8,-22EhpUdGU8,fixed,false,"01 33 50.8965749232","+30 39 36.630403128",23.462069,30.660175,"M33",true,
"Once Around Iron Stars","Iron Stars",https://www.youtube.com/watch?v=AJvkNMJ5cdw,AJvkNMJ5cdw,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Nova 1670","Nova 1670",https://www.youtube.com/watch?v=9q5hc5gSpvU,9q5hc5gSpvU,fixed,false,"19 47 37.9577343864","+27 18 41.792401368",296.908157,27.311609,"CK Vul",true,
"Once Around The Cosmic Owl","The Cosmic Owl",https://www.youtube.com/watch?v=hyI_pPs2sKM,hyI_pPs2sKM,fixed,false,"01 19 32.4","+58 16 40",19.885000,58.277778,"NGC 457",true,
"Once Around Ross 128","Ross 128",https://www.youtube.com/watch?v=ASQP1ZOxFWA,ASQP1ZOxFWA,fixed,false,"11 47 44.3972681420","+00 48 16.400337591",176.934989,0.804556,"Ross 128",true,
"Once Around Teleios","Teleios",https://www.youtube.com/watch?v=b_huX7icWjQ,b_huX7icWjQ,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around Piazzi's Flying Star","Piazzi's Flying Star",https://www.youtube.com/watch?v=s_M-7bDzZ6o,s_M-7bDzZ6o,fixed,false,"21 06 53.95","+38 44 57.9",316.724792,38.749417,"61 Cyg",true,
"Once Around Luytens star","Luytens star",https://www.youtube.com/watch?v=tH1OwgpCM1k,tH1OwgpCM1k,fixed,false,"07 27 24.4989685603","+05 13 32.841491057",111.852079,5.225789,"Luyten's Star",true,
"Once Around Procyon","Procyon",https://www.youtube.com/watch?v=QVc-un92TQM,QVc-un92TQM,fixed,false,"07 39 18.11950","+05 13 29.9552",114.825498,5.224988,"Procyon",true,
"Once Around Wolf 359","Wolf 359",https://www.youtube.com/watch?v=mjXl2YFNLX8,mjXl2YFNLX8,fixed,false,"10 56 28.9208702274","+07 00 53.003285286",164.120504,7.014723,"Wolf 359",true,
"Once Around SN1181","SN1181",https://www.youtube.com/watch?v=vPTvqoqAs20,vPTvqoqAs20,fixed,false,"02 05 35.73","+64 49 41.3",31.398875,64.828139,"SN 1181",true,
"Once Around 3I ATLAS: Interstellar Comet","3I ATLAS: Interstellar Comet",https://www.youtube.com/watch?v=lyIomzwJEAA,lyIomzwJEAA,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around The Andromeda Galaxy","The Andromeda Galaxy",https://www.youtube.com/watch?v=rdhW3kMWJbU,rdhW3kMWJbU,fixed,false,"00 42 44.330","+41 16 07.50",10.684708,41.268750,"M31",true,
"Once Around the Most Massive White Dwarf","the Most Massive White Dwarf",https://www.youtube.com/watch?v=vtJv21gbJxk,vtJv21gbJxk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around The Ring Nebula","The Ring Nebula",https://www.youtube.com/watch?v=kR2ROwjIs98,kR2ROwjIs98,fixed,false,"18 53 35.0967659112","+33 01 44.883287544",283.396237,33.029134,"M57",true,
"Once Around Epsilon Lyrae","Epsilon Lyrae",https://www.youtube.com/watch?v=BbOrWeC3boo,BbOrWeC3boo,fixed,false,"18 44 20.34589","+39 40 12.4533",281.084775,39.670126,"eps1 Lyr",true,
"Once Around V838 Monocerotis","V838 Monocerotis",https://www.youtube.com/watch?v=j4pofxYKsfg,j4pofxYKsfg,fixed,false,"07 04 04.8221494992","-03 50 50.648894412",106.020092,-3.847402,"V838 Mon",true,
"Once Around Cor Caroli","Cor Caroli",https://www.youtube.com/watch?v=wN0KEVdzLI0,wN0KEVdzLI0,fixed,false,"12 56 01.6655889007","+38 19 06.155170512",194.006940,38.318376,"alpha2 CVn",true,
"Once Around Gamma Andromeda","Gamma Andromeda",https://www.youtube.com/watch?v=2dZgQn-9n2Q,2dZgQn-9n2Q,fixed,false,"02 03 53.95229","+42 19 47.0223",30.974801,42.329728,"gamma And",true,
"Once Around Epsilon Indi","Epsilon Indi",https://www.youtube.com/watch?v=IuBYBHU3XpQ,IuBYBHU3XpQ,fixed,false,"22 03 21.6536261624","-56 47 09.522795714",330.840223,-56.785979,"eps Ind",true,
"Once Around R136a1","R136a1",https://www.youtube.com/watch?v=sW0a9hWc_xY,sW0a9hWc_xY,fixed,false,"05 38 42.396","-69 06 03.36",84.676650,-69.100933,"Brey 82",true,
"Once Around Fomalhaut","Fomalhaut",https://www.youtube.com/watch?v=F5puFTHy0Lo,F5puFTHy0Lo,fixed,false,"22 57 39.04625","-29 37 20.0533",344.412693,-29.622237,"Fomalhaut",true,
"Once Around Beta Lyrae","Beta Lyrae",https://www.youtube.com/watch?v=ZO_i2SNDrXw,ZO_i2SNDrXw,fixed,false,"18 50 04.7951442356","+33 21 45.600371200",282.519980,33.362667,"beta Lyr",true,
"Once Around The Garnet Star","The Garnet Star",https://www.youtube.com/watch?v=esH5I1m46sk,esH5I1m46sk,fixed,false,"21 43 30.4595558543","+58 46 48.165937434",325.876915,58.780046,"mu Cep",true,
"Once Around Mira","Mira",https://www.youtube.com/watch?v=N09uNWcY7Nk,N09uNWcY7Nk,fixed,false,"02 19 20.79210","-02 58 39.4956",34.836634,-2.977638,"Mira",true,
"Once Around Gaia's Black Holes","Gaia's Black Holes",https://www.youtube.com/watch?v=mYM9KMp1Qn0,mYM9KMp1Qn0,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Kapteyn's Star","Kapteyn's Star",https://www.youtube.com/watch?v=LQxpAm4pFyk,LQxpAm4pFyk,fixed,false,"05 11 40.5898395497","-45 01 06.361734876",77.919124,-45.018434,"Kapteyn's Star",true,
"Once Around the Glatton Meteorite","the Glatton Meteorite",https://www.youtube.com/watch?v=ANmEFhDjJHo,ANmEFhDjJHo,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around QB1","QB1",https://www.youtube.com/watch?v=7MX76GfvKyE,7MX76GfvKyE,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once around Pollux","Pollux",https://www.youtube.com/watch?v=xX8jxrSc_ok,xX8jxrSc_ok,fixed,false,"07 45 18.94987","+28 01 34.3160",116.328958,28.026199,"Pollux",true,
"Once Around Castor","Castor",https://www.youtube.com/watch?v=_BKLCYu_yR8,_BKLCYu_yR8,fixed,false,"07 34 35.87319","+31 53 17.8160",113.649472,31.888282,"Castor",true,
"Once Around The Pistol Star","The Pistol Star",https://www.youtube.com/watch?v=GMs7oqvHJ9w,GMs7oqvHJ9w,fixed,false,"17 46 15.240","-28 50 03.58",266.563500,-28.834328,"Pistol Star",true,
"Once Around The Magellanic Clouds","The Magellanic Clouds",https://www.youtube.com/watch?v=mr-4qx4TonI,mr-4qx4TonI,fixed,false,"05 23 34.6","-69 45 22",80.894167,-69.756111,"LMC",true,
"Once Around The Goblin","The Goblin",https://www.youtube.com/watch?v=kFVpcocENxI,kFVpcocENxI,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Shell Galaxies","Shell Galaxies",https://www.youtube.com/watch?v=i6jKHegMJwk,i6jKHegMJwk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Giant Elliptical Galaxies","Giant Elliptical Galaxies",https://www.youtube.com/watch?v=IVD6PcZ2TH4,IVD6PcZ2TH4,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Globular Clusters","Globular Clusters",https://www.youtube.com/watch?v=slswRT_Uk88,slswRT_Uk88,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Nemesis, Tyche and Nibiru","Nemesis, Tyche and Nibiru",https://www.youtube.com/watch?v=eI6K0Ci_v7U,eI6K0Ci_v7U,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around The Ashdon Meteorite","The Ashdon Meteorite",https://www.youtube.com/watch?v=GiHNHWLRwmI,GiHNHWLRwmI,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around Vega","Vega",https://www.youtube.com/watch?v=SH2KZQrJaf4,SH2KZQrJaf4,fixed,false,"18 36 56.33635","+38 47 01.2802",279.234735,38.783689,"Vega",true,
"Once Around Mercury","Mercury",https://www.youtube.com/watch?v=7CCD_k8Ng0k,7CCD_k8Ng0k,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Vulcan","Vulcan",https://www.youtube.com/watch?v=6Yd59xomZrc,6Yd59xomZrc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around the Winchcombe Meteroite","the Winchcombe Meteroite",https://www.youtube.com/watch?v=3UB7WD4qr-Q,3UB7WD4qr-Q,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around The Van Allen Belts","The Van Allen Belts",https://www.youtube.com/watch?v=HiRoCOCvAUg,HiRoCOCvAUg,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Asteroid Apophis","Asteroid Apophis",https://www.youtube.com/watch?v=ioUvGDRMrC8,ioUvGDRMrC8,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Altair","Altair",https://www.youtube.com/watch?v=SIJx3967olA,SIJx3967olA,fixed,false,"19 50 46.99855","+08 52 05.9563",297.695827,8.868321,"Altair",true,
"Once Around Diamond Planets","Diamond Planets",https://www.youtube.com/watch?v=W9snsXlRqGg,W9snsXlRqGg,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Pulsar Planets","Pulsar Planets",https://www.youtube.com/watch?v=SL3koHGJvqM,SL3koHGJvqM,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around TON618","TON618",https://www.youtube.com/watch?v=aKMmeLhVRC4,aKMmeLhVRC4,fixed,false,"12 28 24.9659725464","+31 28 37.628987592",187.104025,31.477119,"TON 618",true,
"Once Around Venus","Venus",https://www.youtube.com/watch?v=Gf-2Fpt1T58,Gf-2Fpt1T58,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Deneb","Deneb",https://www.youtube.com/watch?v=OeNtqQwKvCA,OeNtqQwKvCA,fixed,false,"20 41 25.91514","+45 16 49.2197",310.357980,45.280339,"Deneb",true,
"Once Around Tabbys Star","Tabbys Star",https://www.youtube.com/watch?v=yNw0J44zF4o,yNw0J44zF4o,fixed,false,"20 06 15.4526521026","+44 27 24.790869158",301.564386,44.456886,"KIC 8462852",true,
"Once Around Vesta","Vesta",https://www.youtube.com/watch?v=nmLQ9pw4BWs,nmLQ9pw4BWs,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Ceres","Ceres",https://www.youtube.com/watch?v=3MV2FpcgjtQ,3MV2FpcgjtQ,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Albireo","Albireo",https://www.youtube.com/watch?v=xgSF8C5epm8,xgSF8C5epm8,fixed,false,"19 30 43.2756033620","+27 57 34.825072398",292.680315,27.959674,"Albireo",true,
"Once Around the Hyades","the Hyades",https://www.youtube.com/watch?v=h2VJ7Zj0P_8,h2VJ7Zj0P_8,fixed,false,"04 30 27.4","+16 46 43",67.614167,16.778611,"Hyades",true,
"Once Around The Crab Nebula","The Crab Nebula",https://www.youtube.com/watch?v=nhdcc_PgQZs,nhdcc_PgQZs,fixed,false,"05 34 31.8","+22 01 03",83.632500,22.017500,"M1",true,
"Once Around the Whirlpool Galaxy","the Whirlpool Galaxy",https://www.youtube.com/watch?v=4S9gCsfnSGE,4S9gCsfnSGE,fixed,false,"13 29 52.698","+47 11 42.93",202.469575,47.195258,"M51",true,
"Once Around Eta Carina","Eta Carina",https://www.youtube.com/watch?v=NY1SsOGM_yw,NY1SsOGM_yw,fixed,false,"10 45 03.545808","-59 41 03.95124",161.264774,-59.684431,"eta Car",true,
"Once Around Sagittarius A","Sagittarius A",https://www.youtube.com/watch?v=Dt4dnqlzlQs,Dt4dnqlzlQs,fixed,false,"17 45 40.03599","-29 00 28.1699",266.416817,-29.007825,"Sgr A*",true,
"Once Around The Beehive Cluster","The Beehive Cluster",https://www.youtube.com/watch?v=5PApG9c0v6c,5PApG9c0v6c,fixed,false,"08 39 58.4","+19 36 33",129.993333,19.609167,"M44",true,
"Once Around The Pleiades","The Pleiades",https://www.youtube.com/watch?v=sipNso1zklg,sipNso1zklg,fixed,false,"03 46 38.0","+24 10 41",56.658333,24.178056,"M45",true,
"Once Around White Dwarf Stars","White Dwarf Stars",https://www.youtube.com/watch?v=hkDnbAWILm4,hkDnbAWILm4,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Ultima Thule","Ultima Thule",https://www.youtube.com/watch?v=aJbsl1est88,aJbsl1est88,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around the Centaurs","the Centaurs",https://www.youtube.com/watch?v=NoFbIvVc2v0,NoFbIvVc2v0,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Arcturus","Arcturus",https://www.youtube.com/watch?v=z3AvYfuXpb8,z3AvYfuXpb8,fixed,false,"14 15 39.67207","+19 10 56.6730",213.915300,19.182409,"Arcturus",true,
"Once Around Capella","Capella",https://www.youtube.com/watch?v=rnrTCepk6aA,rnrTCepk6aA,fixed,false,"05 16 41.35871","+45 59 52.7693",79.172328,45.997991,"Capella",true,
"Once Around Algol - the demon star","Algol - the demon star",https://www.youtube.com/watch?v=tstA9fSPnPU,tstA9fSPnPU,fixed,false,"03 08 10.1324535","+40 57 20.328013",47.042219,40.955647,"Algol",true,
"Once Around Przybylskis Star","Przybylskis Star",https://www.youtube.com/watch?v=7vjTKGN2VD8,7vjTKGN2VD8,fixed,false,"11 37 37.0409608152","-46 42 34.877876832",174.404337,-46.709688,"Przybylskis Star",true,
"Once Around the Lost Asteroid Hermes","the Lost Asteroid Hermes",https://www.youtube.com/watch?v=M8qM4CGEHZM,M8qM4CGEHZM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Polaris","Polaris",https://www.youtube.com/watch?v=aBzksdM_pSM,aBzksdM_pSM,fixed,false,"02 31 49.09456","+89 15 50.7923",37.954561,89.264109,"Polaris",true,
"Once Around Asteroid Bennu","Asteroid Bennu",https://www.youtube.com/watch?v=QnfXtX8bGSs,QnfXtX8bGSs,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Scholz’s star","Scholz’s star",https://www.youtube.com/watch?v=-ZaJk4CALOo,-ZaJk4CALOo,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around Sirius","Sirius",https://www.youtube.com/watch?v=9w5z5lpA_mY,9w5z5lpA_mY,fixed,false,"06 45 08.91728","-16 42 58.0171",101.287155,-16.716116,"Sirius",true,
"Once Around K2 18b","K2 18b",https://www.youtube.com/watch?v=AEFBMr2ec6A,AEFBMr2ec6A,fixed,false,"11 30 14.5177445592","+07 35 18.255348492",172.560491,7.588404,"K2-18 b",true,
"Once Around 40 Eridani","40 Eridani",https://www.youtube.com/watch?v=4YJ6XYVN2fg,4YJ6XYVN2fg,fixed,false,"04 15 16.3196189945","-07 39 10.330779018",63.817998,-7.652870,"40 Eri",true,
"Once Around Tau Ceti","Tau Ceti",https://www.youtube.com/watch?v=qYvoM_wJOf4,qYvoM_wJOf4,fixed,false,"01 44 04.0831371922","-15 56 14.927607677",26.017013,-15.937480,"tau Cet",true,
"Once Around Epsilon Eridani","Epsilon Eridani",https://www.youtube.com/watch?v=FBggG5xPq6A,FBggG5xPq6A,fixed,false,"03 32 55.8444911587","-09 27 29.739493865",53.232685,-9.458261,"eps Eri",true,
"Once Around Aristarchus","Aristarchus",https://www.youtube.com/watch?v=SrzxOe2XjgM,SrzxOe2XjgM,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once around the Sun’s Sister Stars","the Sun’s Sister Stars",https://www.youtube.com/watch?v=KBNE-3axlHk,KBNE-3axlHk,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around : The Halloween Fireballs",": The Halloween Fireballs",https://www.youtube.com/watch?v=tpukFRi9Y-I,tpukFRi9Y-I,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around The Methuselah Star","The Methuselah Star",https://www.youtube.com/watch?v=Xe5dTYbn5HA,Xe5dTYbn5HA,fixed,false,"15 43 03.0971190219","-10 56 00.595693188",235.762905,-10.933499,"HD 140283",true,
"Once Around the Fireworks Galaxy","the Fireworks Galaxy",https://www.youtube.com/watch?v=Nj7uaBnCGU8,Nj7uaBnCGU8,fixed,false,"20 34 52.332","+60 09 13.24",308.718050,60.153678,"NGC 6946",true,
"Once Around Barnards Star","Barnards Star",https://www.youtube.com/watch?v=2zvGO0n6NJw,2zvGO0n6NJw,fixed,false,"17 57 48.4984700685","+04 41 36.113879676",269.452077,4.693365,"Barnard's Star",true,
"Once Around the Milky Way","the Milky Way",https://www.youtube.com/watch?v=7ajC1w8ttLI,7ajC1w8ttLI,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Orion's Belt","Orion's Belt",https://www.youtube.com/watch?v=q25LzTuyxZ0,q25LzTuyxZ0,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around the Cepheids","the Cepheids",https://www.youtube.com/watch?v=tn0QmsfV_aY,tn0QmsfV_aY,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Alpha Centauri","Alpha Centauri",https://www.youtube.com/watch?v=xdWKXZezkYY,xdWKXZezkYY,fixed,false,"14 39 36.50","-60 50 02.3",219.902083,-60.833972,"alpha Cen",true,
"Once Around Cygnus X 1","Cygnus X 1",https://www.youtube.com/watch?v=ILwDC9PQ3hw,ILwDC9PQ3hw,fixed,false,"19 58 21.6757355952","+35 12 05.784512688",299.590316,35.201607,"Cyg X-1",true,
"Once Around Protostars","Protostars",https://www.youtube.com/watch?v=XqXeXJB4nks,XqXeXJB4nks,concept,false,,,,,,true,"Class of objects, no single position"
"Once around Planet Nine","Planet Nine",https://www.youtube.com/watch?v=SrGvP8G0Tr8,SrGvP8G0Tr8,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once around the Ice Giants","the Ice Giants",https://www.youtube.com/watch?v=T2cpgbUgGXg,T2cpgbUgGXg,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once around Saturn","Saturn",https://www.youtube.com/watch?v=JrqSGS9HHV4,JrqSGS9HHV4,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once around Jupiter","Jupiter",https://www.youtube.com/watch?v=udTPZx6tAyo,udTPZx6tAyo,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"